supplier_id,supplier_name,lead_time,contact_info
1,Mahesh,3,mahesh01@supplier.com
2,Ramesh,5,ramesh02@supplier.com
3,Mukesh,5,mukesh03@supplier.com
4,Girish,2,girish04@supplier.com
5,Ram,9,ram05@supplier.com
6,Ganesh,3,ganesh06@supplier.com
7,Hari,3,hari07@supplier.com
8,Rakesh,3,rakesh08@supplier.com
9,Manoj,7,manoj09@supplier.com
10,Krishna,2,krishna10@supplier.com
11,Shivam,9,shivam11@supplier.com
12,Shubham,10,shubham12@supplier.com
13,Raju,7,raju13@supplier.com
14,Pramod,3,pramod14@supplier.com
15,Shubhash,9,shubhash15@supplier.com
16,Rajesh,9,rajesh16@supplier.com
17,Ashok,8,ashok17@supplier.com
18,Amit,5,amit18@supplier.com
19,Rahul,4,rahul19@supplier.com
20,Rohit,2,rohit20@supplier.com
